id,word,translation
740,leer,пустой
741,gut,хороший; добрый
742,ausgezeichnet,отличный
743,erstaunlich,удивительный
744,wunderschön,"прекрасный, чудесный"
745,schlecht,плохой
746,schrecklich,ужасный
747,früh,ранний; рано
748,spät,поздний; поздно
749,letzt,"последний, прошлый"
750,nächst,следующий
751,frei,свободный
752,kostenlos,бесплатный
753,beschäftigt,занятый
754,heiß,жаркий; горячий
755,warm,тёплый
756,kalt,холодный
757,kühl,прохладный
758,scharf,острый
759,stumpf,тупой (нож)
760,dumm,глупый
761,klug,умный
762,schön,красивый
763,attraktiv,привлекательный
764,hübsch,симпатичный
765,hässlich,"уродливый, безобразный, отвратительный"
766,hoch,высокий
767,niedrig,низкий
768,lang,длинный; долгий 
769,kurz,короткий
770,schwer,тяжёлый 
771,leicht,лёгкий
772,schwierig,"трудный, тяжелый"
773,einfach,простой
774,dunkel,тёмный 
775,hell,светлый
776,teuer,дорогой (о цене) 
777,lieb,"дорогой, милый"
778,billig,дешёвый 
779,arm,бедный
780,reich,богатый
781,gerade,прямой; прямо
782,links,cлева
783,rechts,справа
784,falsch,неправильный
785,schnell,быстрый
786,langsam,медленный
787,weich,мягкий
788,hart,твёрдый; жесткий; трудный
789,traurig,печальный
790,froh,радостный
791,glücklich,счастливый
792,lustig,веселый
793,böse,"сердитый, злой"
794,höflich,вежливый
795,grob,грубый
796,zart,нежный
797,mutig,смелый
798,feige,трусливый
799,scheu,застенчивый
800,fleißig,прилежный
801,faul,ленивый
802,nützlich,полезный
803,nutzlos,бесполезный
804,stark,сильный; крепкий
805,schwach,слабый
806,laut,"громкий, шумный"
807,leise,"тихий, негромкий"
808,ruhig,"тихий, спокойный"
809,eng,узкий
810,breit,широкий
811,sauber,чистый
812,schmutzig,грязный
813,müde,усталый
814,ehrlich,честный
815,bequem,уютный
816,seltsam,странный
817,eigen,собственный
818,schmackhaft,вкусный
819,bitter,горький
820,sauer,кислый
821,salzig,соленый
822,bereit,готовый (что-то сделать)
823,fertig,готовый (завершенный)
824,aufmerksam,внимательный
825,vorsichtig,осторожный
826,Haupt...,главный
827,fähig,способный
828,notwendig,необходимый
829,wichtig,важный
830,sicher,уверенный 
831,echt,"настоящий, истинный; правда"
832,besser,лучше; более хороший
833,best,лучший
834,mehr,больше (по количеству); более
835,meist,наибольший (по количеству)
836,lieber,"лучше, охотней"
837,am liebsten,охотней всего
838,manchmal,иногда
839,nie,никогда
840,selten,редко
841,gewöhnlich,обычно
842,oft,часто
843,immer,всегда
844,bald,скоро
845,vor kurzem,недавно
846,weit,далеко
847,genau,точно
848,wahrscheinlich,вероятно
849,vielleicht,может быть
850,wirklich,действительно
851,natürlich,конечно
852,sicherlich,"наверняка, безусловно"
853,offensichtlich,очевидно
854,besonders,особенно 
855,gern,охотно
856,ja,да
857,nein,нет
858,nicht,не
859,dieser,этот 
860,jener,тот
861,viele,много (+ слово во множественном числе)
862,viel,много (+ слово в единственном числе)
863,wenig,мало
864,einige,некоторые
865,mehrere,несколько
866,jemand,кто-то
867,niemand,никто
868,etwas,что-то; немножко
869,nichts,ничто 
870,alles,всё
871,alle,все
872,hier,здесь
873,hierher,сюда
874,dort,там
875,dorthin,туда 
876,da,тут; так как
877,jetzt,сейчас
878,wieder,"снова, опять"
879,dann,потом
880,damals,тогда
881,als,чем (при сравнении); когда; в качестве
882,schon,уже
883,nur,только
884,noch,ещё
885,fast,почти
886,sehr,очень
887,jeder,каждый
888,anderer,другой
889,solcher,такой
890,so,так
891,also,итак
892,oben,вверху
893,unten,внизу
894,zusammen,вместе
895,vorwärts,вперед
896,vorne,впереди
897,sogar,даже
898,genug,достаточно
899,auch,"тоже, также"
900,und,и
901,oder,или
902,aber,но
903,jedoch,однако
904,weil,"потому что, так как"
905,deshalb,поэтому
906,ob,ли
907,obwohl,хотя
908,dass,что
909,sein,"быть, являться"
910,tun,делать (вообще)
911,machen,делать (что-то)
912,haben,иметь
913,können,мочь (быть в состоянии) 
914,dürfen,мочь (иметь разрешение)
915,wollen,хотеть
916,mögen,"любить, нравиться"
917,möchten,хотелось бы
918,müssen,быть должным (по внутренним причинам)
919,sollen,быть должным (по внешним причинам)
920,haben zu,должен (что-то сделать)
921,sein zu,должен (быть сделанным)
922,brauchen,нуждаться
923,gehen,идти
924,fahren,ехать
925,finden,находить
926,halten,держать; останавливаться
927,stehen,стоять
928,sitzen,сидеть
929,hören,"слышать, слушать"
930,gewinnen,"побеждать, выигрывать"
931,erhalten,получать (офиц.)
932,bekommen,получать
933,kriegen,получать (разг.)
934,kommen,"приходить, приезжать"
935,werden,становиться; передаёт будущее время; передаёт страдательный залог
936,laufen,бежать
937,sehen,видеть
938,schreiben,писать
939,fallen,падать
940,tragen,носить
941,nehmen,брать
942,geben,давать
943,schenken,дарить
944,entschuldigen,прощать
945,vergessen,забывать
946,essen,кушать
947,liegen,лежать
948,legen,класть
949,lügen,лгать
950,führen,вести
951,füttern,кормить
952,sagen,сказать
953,bezahlen,оплачивать
954,trinken,пить
955,schwimmen,плавать
956,singen,петь
957,beginnen,начинать
958,klingen,звенеть
959,rufen,звать; кричать
960,anrufen,звонить
961,sinken,опускаться; погружаться
962,stinken,вонять
963,fliegen,летать
964,wissen,знать 
965,kennen,"знать, быть знакомым"
966,zeichnen,"рисовать, чертить"
967,malen,рисовать
968,werfen,"кидать, бросать"
969,wachsen,расти
970,blasen,дуть
971,sprechen,"разговаривать, говорить"
972,wählen,выбирать
973,wecken,будить
974,brechen,ломать
975,zeigen,показывать
976,schneiden,резать
977,setzen sich,садиться
978,kosten,стоить
979,lassen,позволять; оставлять
980,schließen,закрывать
981,schlagen,"ударять, бить"
982,lesen,читать
983,senden,посылать
984,verbringen,проводить (время)
985,leihen,одолжить
986,bauen,строить
987,fühlen,чувствовать
988,treffen,встречать; попасть (в цель)
989,schlafen,спать
990,verlassen,покидать
991,kaufen,покупать
992,bringen,"приносить, привозить"
993,lehren,"учить, обучать"
994,denken,думать
995,kämpfen,бороться
996,fangen,ловить
997,befürchten,"бояться, опасаться"
998,interessieren sich,интересоваться
999,überraschen,удивлять
1000,aufstehen,вставать 
1001,ziehen,тянуть; перемещаться
1002,anziehen,надевать
1003,ausziehen,снимать (одежду)
1004,leben,жить 
1005,wohnen,проживать
1006,arbeiten,работать
1007,fernsehen,смотреть телевизор
1008,waschen,"мыть, cтирать"
1009,rasieren sich,бриться
1010,versuchen,"пытаться, пробовать"
1011,feiern,праздновать
1012,lächeln,улыбаться
1013,lachen,смеяться
1014,weinen,плакать
1015,lernen,учить(ся)
1016,studieren,учиться (в вузе); изучать
1017,ändern,(из)менять
1018,öffnen,открывать
1019,tanzen,танцевать
1020,fragen,спрашивать
1021,bitten,просить 
1022,bieten,предлагать
1023,antworten,отвечать
1024,sammeln,собирать
1025,gefallen,нравиться
1026,kochen,варить; готовить
1027,backen,печь
1028,riechen,пахнуть; нюхать
1029,warten,ждать
1030,erwarten,ожидать
1031,danken,благодарить
1032,spielen,играть
1033,rauchen,курить
1034,wünschen,желать
1035,schreien,кричать
1036,träumen,мечтать; видеть сон
1037,hoffen,надеяться
1038,erinnern sich,вспоминать
1039,erinnern,напоминать
1040,genießen,наслаждаться; пользоваться
1041,erklären,объяснять
1042,bleiben,оставаться
1043,erholen sich,отдыхать
1044,abbiegen,повернуть
1045,heben,поднимать
1046,glauben,"верить, полагать"
1047,helfen,помогать
1048,bestellen,заказывать
1049,befehlen,приказывать
1050,besuchen,посещать
1051,prüfen,проверять
1052,springen,прыгать
1053,reisen,путешествовать
1054,entscheiden,"решать, принимать решение"
1055,lösen,решать (проблему); растворять
1056,stimmen,"быть правильным, верным"
1057,zustimmen,соглашаться 
1058,retten,спасать
1059,speichern,"сохранять, накапливать"
1060,sparen,"экономить, копить"
1061,streiten,спорить 
1062,zählen,считать
1063,sorgen sich,беспокоиться
1064,scherzen,шутить
1065,"bewegen sich",двигаться
1066,passen,"соответствовать, подходить"
1067,sterben,умирать
1068,beeinflussen,влиять
1069,unterstützen,поддерживать
1070,beschreiben,описывать
1071,bestrafen,наказывать
1072,vorhaben,намереваться
1073,klagen,жаловаться
1074,vermeiden,избегать
1075,zurückkehren,возвращаться
1076,stören,"беспокоить, мешать" 
1077,vorstellen,"представлять, знакомить"
1078,kennenlernen,"узнавать, знакомиться"
1079,überzeugen,убеждать
1080,genehmigen,"позволять, санкционировать, одобрять"
1081,schätzen,ценить
